School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Community of Learning: ID,Community of Learning: Name,Longitude,Latitude,Decile,Total School Roll,European / Pakeha,Maori,Pasifika,Asian,MELAA,Other,International
557,Holy Family School (Wanaka),03 443 2394,03 443 2395,office@holyfamilywanaka.school.nz,Joanna McKay,http://www.holyfamilyschoolwanaka.com,152 Aubrey Road,,Wanaka,P O Box 592,,Wanaka,9305,Minor Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Queenstown-Lakes District,Otago Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Wanaka,Wanaka Ward,,,169.137626,-44.679789,10,189,168,12,2,6,1,0,0
558,TKKM o Te Kura Kokiri,07 542 1864,07 542 1867,rawi.nuku@kurakokiri.maori.nz,Mark Nicholas,http://www.kurakokiri.maori.nz,1223 Welcome Bay Road,Welcome Bay,Tauranga,P O Box 867,Seventh Avenue,Tauranga,3140,Main Urban Area,Composite,Kura Kaupapa Maori,State,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Bay of Plenty,Waiariki,Kairua,Mount Maunganui-Papamoa Ward,,,176.283678,-37.723434,2,141,2,135,4,0,0,0,0
559,Te Wainui a Rua,06 342 8123,,office@tewainuiarua.school.nz,Karleen Marshall,,4502 Whanganui River Road,,Ranana,4502 Whanganui River Road RD 6,,Whanganui,4576,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Fordell-Kakatahi,Area Outside Ward,99170,Te Hononga Kahui Kura - Kahui Ako,175.107521,-39.582596,2,23,1,22,0,0,0,0,0
563,Albany Senior High School,09 451 9065,09 451 9209,info@ashs.school.nz,Miranda Makin (Acting),http://www.ashs.school.nz,536 Albany Highway,Albany,Auckland,P O Box 300380,Albany,North Shore City,752,Main Urban Area,Secondary (Year 11-15),Not Applicable,State,Co-Educational,Auckland - Upper Harbour,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,Albany,Albany Ward,99128,Whanau ki te Ako: Albany / Greenhithe,174.695766,-36.730178,10,792,507,54,24,125,35,33,14
564,Ormiston Senior College,09 551 2430,,info@ormiston.school.nz,Diana Patience,http://www.ormiston.school.nz/,275 Ormiston Road,Flat Bush,Auckland,P O Box 217104,Botany Junction,Auckland,2164,Main Urban Area,Secondary (Year 11-15),Not Applicable,State,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Ormiston,Howick Ward,,,174.918244,-36.96796,7,599,64,32,52,383,44,3,21
565,Stonefields School,09 527 7721,,office@stonefields.school.nz,Sarah Martin,http://www.stonefields.school.nz/,81 Tihi Street,Stonefields,Auckland,81 Tihi Street,Stonefields,Auckland,1072,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Auckland - Orakei,Auckland Region,Auckland,Auckland,Tamaki,Tamaki Makaurau,Stonefields,Orakei Ward,99031,Manaiakalani Community of Learning,174.840539,-36.888313,9,641,315,37,28,212,42,7,0
566,Maraekakaho School,06 874 9700,06 874 9790,office@mkk.school.nz,Philip Jones,http://www.mkk.school.nz,68 Kereru Road,,Maraekakaho,68 Kereru Road RD 1,,Hastings,4171,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Hastings District,Hawke's Bay Region,Napier,Hawke's Bay/Tairawhiti,Tukituki,Ikaroa-Rawhiti,Maraekakaho,Kahuranaki Ward,99136,Whirinaki Community of Learning,176.617899,-39.648542,8,158,125,27,0,2,1,3,0
567,Te Wharekura o Te Kaokaoroa o Patetere,07 883 3780,07 883 3784,office@kaokaoroa.school.nz,Keith Silveira,http://www.kaokaoroa.school.nz,117 Buckland Street,,Putaruru,117 Buckland Street,,Putaruru,3411,Minor Urban Area,Composite,Designated Character School,State,Co-Educational,South Waikato District,Waikato Region,Hamilton,Waikato,Taupo,Te Tai Hauauru,Putaruru,Putaruru Ward,99084,Tainui Kahui Kura Community of Learning,175.774428,-38.044283,2,311,2,306,3,0,0,0,0
570,Mission Heights Primary School,09 277 7888,09 277 7883,admin@mhp.school.nz,Veena Vohra,http://www.mhp.school.nz,Jeffs Road,Flat Bush,Auckland,P O Box 64448,Botany,Manukau,2163,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Ormiston,Howick Ward,,,174.931664,-36.962395,8,670,43,19,51,524,31,2,0
571,ACG Sunderland,09 838 7070,09 838 7040,sunderland@acgedu.com,Nathan Villars,http://www.acgedu.com/nz/sunderland,6 Waipareira Avenue,Henderson,Waitakere,6 Waipareira Avenue,Henderson,Waitakere,610,Main Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Henderson-Massey,Auckland Region,Auckland,Auckland,Te Atatu,Te Tai Tokerau,Fairdene,Waitakere Ward,,,174.633795,-36.864303,99,362,116,15,21,140,9,4,57
577,Te Totara Primary School,07 853 0039,,receptionist@tetotara.school.nz,Brian Sheedy,http://www.tetotara.school.nz,31 Hector Drive,Rototuna North,Hamilton,P O Box 28134,Rototuna,Hamilton,3256,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton West,Hauraki-Waikato,Horsham Downs,East Ward,99132,Te Pae Here Kahui Ako Te Raki Rawhiti o Kirikiriroa,175.268722,-37.719812,10,752,321,91,20,233,86,1,0
584,West Rolleston Primary School,03 595 0952,,,Sylvia Fidow,http://www.westrolleston.school.nz,327 Dunns Crossing Road,,Rolleston,327 Dunns Crossing Road RD 8,,Christchurch,7678,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Springston,Selwyn Central Ward,99206,Nga Peka o Tauwharekakaho (Rolleston) Kahui Ako,172.355917,-43.606888,10,405,280,49,14,38,11,13,0
586,Shotover Primary School,03 409 0005,,,Benjamin Witheford,http://www.shotover.school.nz,57 Stalker Road,,Queenstown,57 Stalker Road,Lower Shotover,Queenstown,9304,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Queenstown-Lakes District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Lake Hayes South,Queenstown-Wakatipu Ward,99093,Wakatipu Community of Learning,168.776626,-45.005745,10,489,381,40,14,34,13,7,0
588,Hingaia Peninsula School,09 299 3628,,info@hp.school.nz,Jane Danielson,http://www.hingaiapeninsula.school.nz,171 Hingaia Road,Karaka,Auckland,P O Box 72815,,Auckland,2680,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Auckland - Papakura,Auckland Region,Auckland,Auckland,Papakura,Hauraki-Waikato,Hingaia,Manurewa-Papakura Ward,99099,Rosehill Community of Learning,174.916183,-37.077444,10,283,111,27,10,123,10,2,0
589,Te Kura o Nga Ruahine Rangi,06 764 7050,06 764 7053,admin@ngaruahine.school.nz,Ngapera Moeahu-Teitinga,,520 Eltham Road,,Mangatoki,520 Eltham Road RD 21,,Stratford,4391,Rural Area,Composite (Year 1-10),Designated Character School,State,Co-Educational,South Taranaki District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Mangatoki-Moeroa,Eltham Ward,,,174.229208,-39.423822,2,42,1,41,0,0,0,0,0
595,Kauri Flats School,09 222 4780,,,Matthew Williams,http://www.kauriflats.school.nz,181 Walters Road,Takanini,Auckland,181 Walters Road,,Papakura,2852,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Auckland - Papakura,Auckland Region,Auckland,Auckland,Papakura,Hauraki-Waikato,Takanini South,Manurewa-Papakura Ward,,,174.949754,-37.0442,3,92,18,24,16,29,4,1,0
600,TKKM o Ngaringaomatariki,09 425 9017,09 425 9218,admin@ngaringaomatariki.school.nz,Noema Paul,,34 Oruawharo School Road,Oruawharo,Wellsford,34 Oruawharo School Road RD 5,,Wellsford,975,Rural Area,Full Primary,Kura Kaupapa Maori,State,Co-Educational,Kaipara District,Northland Region,Whangarei,Tai Tokerau,Northland,Te Tai Tokerau,Rehia-Oneriri,Otamatea Ward,,,174.409953,-36.272816,2,25,1,24,0,0,0,0,0
601,Kumeroa School,06 376 4542,06 376 4542,office@kumeroa.school.nz,Caroline Transom,http://www.kumeroa.school.nz,Cnr Township & School Roads,,Kumeroa,58 Township Road RD 1,,Woodville,4997,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Tararua District,Manawatu-Wanganui Region,Wellington,Wellington,Wairarapa,Ikaroa-Rawhiti,Papatawa,South Tararua Ward,99071,Tararua Kahui Ako,175.989711,-40.337633,8,49,42,4,0,2,0,1,0
603,KingsGate School,09 239 0297,09 239 0297,admin@kingsgate.school.nz,Jared Stein,http://www.kingsgate.school.nz,53 Victoria Street,Pukekohe West,Auckland,53 Victoria Street,,Pukekohe,2120,Secondary Urban Area,Full Primary,Not Applicable,State : Integrated, Co-Ed                                                      ,Auckland - Franklin,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Pukekohe North,Franklin Ward,99189,South Eastern Community of Learning,174.896801,-37.200017,5,102,58,9,28,4,2,1,0
604,Golden Grove School,09 636 4461,,kana@goldengrove.school.nz,Helena Royden,http://www.goldengrove.school.nz,57 Grey Street,Onehunga,Auckland,57 Grey Street,Onehunga,Auckland,1061,Main Urban Area,Full Primary,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Maungakiekie-Tamaki,Auckland Region,Auckland,Auckland,Maungakiekie,Tamaki Makaurau,Onehunga South East,Maungakiekie-Tamaki Ward,,,174.783873,-36.918942,99,42,20,4,5,9,0,1,3
605,Wentworth Primary,09 428 0903,,enquiries@wentworth.school.nz,Bruce Tong,http://www.wentworth.school.nz/,95 Gulf Harbour Drive,Gulf Harbour,Whangaparaoa,P O Box 650,,Whangaparaoa,943,Main Urban Area,Full Primary,Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Hibiscus and Bays,Auckland Region,Auckland,Auckland,Rodney,Te Tai Tokerau,Army Bay,Albany Ward,,,174.793868,-36.614512,10,83,59,3,1,17,0,0,3
607,Big Rock Primary School,03 481 1781,,office@bigrock.school.nz,David Grant,,2 Bath Street,,Brighton,2 Bath Street,Brighton,Dunedin,9035,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Brighton,Area Outside Ward,,,170.33023,-45.949295,8,85,69,13,1,2,0,0,0
608,Ashburton Christian School,03 307 6340,,office@acs.school.nz,Timothy Kuipers,http://www.ashburtonchristian.school.nz,119 Albert Street,Elgin,Ashburton,P O Box 632,,Ashburton,7740,Secondary Urban Area,Composite,Not Applicable,State : Integrated,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Ashburton East,Eastern Ward,99043,Hakatere (Ashburton) Community of Learning,171.77209,-43.911169,6,120,75,7,3,27,8,0,0
610,Seven Oaks School,03 377 8603,,office@sevenoaks.school.nz,Molly Watson,http://www.sevenoaks.school.nz/,77 Murphys Road,Halswell,Christchurch,77 Murphys Road,Halswell,Christchurch,8025,Main Urban Area,Full Primary,Not Applicable,Private : Fully Registered,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Halswell West,Halswell Ward,,,172.654497,-43.550944,99,34,31,1,0,2,0,0,0
614,Amesbury School,04 477 3423,04 974 5956,office@amesbury.school.nz,Lesley Murrihy,http://www.amesbury.school.nz,48 Amesbury Drive,Churton Park,Wellington,48 Amesbury Drive,Churton Park,Wellington,6037,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Ohariu,Te Tai Tonga,Churton Park North,Northern Ward,99139,Northern Suburbs Community of Learning,174.802131,-41.199094,10,252,106,7,2,118,9,5,5
615,Rototuna Senior High School,07 854 0541,,,Natasha Hemara,http://www.rshs.school.nz,Kimbrae Drive,Rototuna,Hamilton,P O Box 21116,Rototuna,Hamilton,3210,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton West,Hauraki-Waikato,Horsham Downs,East Ward,99132,Te Pae Here Kahui Ako Te Raki Rawhiti o Kirikiriroa,175.261926,-37.715468,10,319,215,52,6,42,2,2,0
617,City Impact Church School (Secondary),09 477 0302,09 477 0301,,Darrell Parratt,http://www.cityimpactchurch.school.nz,794 East Coast Road,Oteha,Auckland,P O Box 35211,Browns Bay,Auckland,753,Main Urban Area,Secondary (Year 9-15),Not Applicable,Private : Fully Registered,Co-Educational,Auckland - Upper Harbour,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,Northcross,Albany Ward,,,174.721659,-36.722475,10,59,32,3,7,6,9,2,0
618,Sancta Maria Catholic Primary School,09 271 5249,09 272 8675,principal@sanctamariaprimary.school.nz,Gina Benade,http://www.sanctamariaprimary.school.nz/1/pages/3-welcome,317 Te Irirangi Drive,Flat Bush,Manukau,P O Box 259074,Botany,Manukau,2163,Main Urban Area,Contributing,Not Applicable,State : Integrated,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Botany,Tamaki Makaurau,Ormiston,Howick Ward,99189,South Eastern Community of Learning,174.903914,-36.959994,5,369,23,19,74,218,34,1,0
620,Huanui College,09 459 1930,09 459 1936,admin@huanuicollege.school.nz,Peter Ackers,http://www.hc.school.nz/,328 Ngunguru Road RD 3,Glenbervie,Whangarei,328 Ngunguru Road RD 3,,Whangarei,173,Rural Area,Secondary (Year 7-15),Not Applicable,Private : Fully Registered,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Punaruku-Kiripaka,Whangarei Heads Ward,,,174.361724,-35.668291,9,244,160,45,4,20,7,4,4
622,Silverstream Christian School,04 528 4111,,,Mary Anne De Young,http://www.silverstreamchristian.school.nz,4 - 8 Blue Mountain Road,Silverstream,Upper Hutt,P O Box 48195,Silverstream,Upper Hutt,5142,Main Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Upper Hutt City,Wellington Region,Wellington,Wellington,Rimutaka,Ikaroa-Rawhiti,Pinehaven,Area Outside Ward,,,175.014552,-41.151279,99,23,23,0,0,0,0,0,0
624,Te Karaka Area School,06 862 3097,,,Gordon Pepere,http://tkas.school.nz,5 Kanakanaia Road,Te Karaka,Gisborne,P O Box 3,Te Karaka,Gisborne,4042,Rural Area,Composite,Not Applicable,State,Co-Educational,Gisborne District,Gisborne Region,Napier,Hawke's Bay/Tairawhiti,East Coast,Ikaroa-Rawhiti,Te Karaka,Waipaoa Ward,99082,Taha Tinana (Gisborne) Kahui Ako,177.866317,-38.469046,2,105,6,99,0,0,0,0,0
628,TKKM o Tuia te Matangi,03 928 0031,03 928 0032,tari@tuiatematangi.ac.nz,,,61 Croucher Street,Richmond,Nelson,P O Box 8026,Nelson Mail Centre,Nelson,7042,Main Urban Area,Composite,Kura Kaupapa Maori,State,Co-Educational,Tasman District,Tasman Region,Nelson,Nelson/Marlborough/West Coast,Nelson,Te Tai Tonga,Richmond East,Richmond Ward,,,173.190246,-41.334764,4,44,2,41,1,0,0,0,0
630,Te Kura Maori o Nga Tapuwae,09 551 6161,09 551 6170,info@ngatapuwae.school.nz,Arihia Stirling,http://www.ngatapuwae.school.nz,253 Buckland Road West,Mangere,Auckland,P O Box 43213,Mangere,Manukau,2153,Main Urban Area,Composite,Designated Character School,State,Co-Educational,Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Auckland,Mangere,Tamaki Makaurau,Harania West,Manukau Ward,99084,Tainui Kahui Kura Community of Learning,174.81709,-36.965266,2,265,0,261,4,0,0,0,0
631,Kia Aroha College,09 274 5807,09 274 5942,emily.singh@kiaaroha.school.nz,Haley Milne,http://www.kiaaroha.school.nz/,51 Othello Drive,Otara,Auckland,51 Othelllo Drive,Otara,Auckland,2023,Main Urban Area,Secondary (Year 7-15),Designated Character School,State,Co-Educational,Auckland - Otara-Papatoetoe,Auckland Region,Auckland,Auckland,Botany,Tamaki Makaurau,Clover Park,Manukau Ward,,,174.892768,-36.980854,1,225,1,88,124,10,1,1,0
632,Tai Wananga,07 853 0035,07 853 0579,info@taiwananga.co.nz,Toby Westrupp,http://www.taiwananga.co.nz,Ruakura AgResearch Centre East Street,,Hamilton,P O Box 14024,Five Cross Roads,Hamilton,3252,Main Urban Area,Secondary (Year 9-15),Designated Character School,State,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton East,Hauraki-Waikato,Newstead,East Ward,,,175.305793,-37.775345,4,196,2,189,4,0,0,1,0
633,Kingsview School,03 451 1444,,office@kingsview.school.nz,Rebekah Key,http://www.kingsview.school.nz,14 Yewlett Cresent,Frankton,Queenstown,P O Box 2113,,Queenstown,9349,Secondary Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Queenstown-Lakes District,Otago Region,Dunedin,Otago/Southland,Clutha-Southland,Te Tai Tonga,Frankton,Queenstown-Wakatipu Ward,99093,Wakatipu Community of Learning,168.727617,-45.017714,10,50,32,3,1,11,3,0,0
641,Te Wharekura o Nga Purapura o Te Aroha,07 872 6181,07 870 1018,npota@twoa.ac.nz,Jade Tapine,,320 Factory Road,,Te Awamutu,P O Box 151,,Te Awamutu,3840,Main Urban Area,Composite,Designated Character School,State,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Te Awamutu Central,Te Awamutu Ward,99084,Tainui Kahui Kura Community of Learning,175.314306,-38.002938,3,88,4,83,1,0,0,0,0
647,Bathgate Park School,03 455 3421,,office@bathgatepark.school.nz,Katrina Robertson (Acting),http://www.bathgatepark.school.nz,213 Macandrew Road,South Dunedin,Dunedin,213 Macandrew Road,South Dunedin,Dunedin,9012,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Forbury,Area Outside Ward,,,170.492258,-45.900329,3,201,81,75,33,10,2,0,0
648,Carisbrook School,03 455 8315,03 455 3720,,Ben Sincock,http://www.carisbrook.school.nz,217 South Road,Caversham,Dunedin,217 South Road,Caversham,Dunedin,9012,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Dunedin City,Otago Region,Dunedin,Otago/Southland,Dunedin South,Te Tai Tonga,Caversham,Area Outside Ward,,,170.484093,-45.895389,3,318,148,97,38,7,27,1,0
651,Te Whata Tau o Putauaki,07 323 8486,07 323 8486,tari@twtop.school.nz,Ripeka Lessels,http://www.twtop.school.nz,39-57 Galway Street,,Kawerau,P O Box 124,,Kawerau,3127,Minor Urban Area,Composite,Designated Character School,State,Co-Educational,Kawerau District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Kawerau,Area Outside Ward,99038,Putauaki ki Rangitaiki Kahui Ako,176.706584,-38.083372,1,78,0,78,0,0,0,0,0
654,Rolleston College,03 595 2490,,,Steve Saville,http://www.rollestoncollege.nz,631 Springston Rolleston Road,,Rolleston,P O Box 86045,Rolleston West,Rolleston,7658,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Rolleston South East,Selwyn Central Ward,99206,Nga Peka o Tauwharekakaho (Rolleston) Kahui Ako,172.388513,-43.603516,10,433,332,62,10,20,6,3,0
655,Kawerau Putauaki School,07 323 7093,07 323 7764,admin@putauaki.school.nz,Rachel Chater,http://www.putauaki.school.nz,87-89 Fenton Mill Road,,Kawerau,87-89 Fenton Mill Road,,Kawerau,3127,Minor Urban Area,Contributing,Not Applicable,State,Co-Educational,Kawerau District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Kawerau,Area Outside Ward,99038,Putauaki ki Rangitaiki Kahui Ako,176.685504,-38.089843,2,190,16,168,2,1,0,3,0
658,Murupara Area School,07 366 5602,07 366 5366,office@mas.school.nz,Angela Sharples,http://www.mas.school.nz,84 Pine Drive,,Murupara,P O Box 26,,Murupara,3062,Minor Urban Area,Composite,Not Applicable,State,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Murupara,Galatea-Murupara Ward,99038,Putauaki ki Rangitaiki Kahui Ako,176.703042,-38.455354,1,342,12,327,3,0,0,0,0
660,Kahurangi School,04 388 6386,,office@kahurangi.school.nz,Kyran Smith,http://kahurangi.school.nz,45 Strathmore Avenue,Strathmore,Wellington,43 Strathmore Avenue,Strathmore,Wellington,6022,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Wellington City,Wellington Region,Wellington,Wellington,Rongotai,Te Tai Tonga,Strathmore Park,Eastern Ward,99141,Wellington East Community of Learning ,174.820902,-41.328369,3,201,54,67,42,22,16,0,0
661,Tarawera High School,07 323 6553,07 323 6552,office@tarawera.school.nz,Helen Tuhoro,http://www.tarawera.school.nz,58-122 River Road,,Kawerau,P O Box 12,,Kawerau,3169,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Co-Educational,Kawerau District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Kawerau,Area Outside Ward,99038,Putauaki ki Rangitaiki Kahui Ako,176.709393,-38.087207,1,483,67,409,2,4,0,1,0
671,Waikato Montessori Education Centre,07 858 3563,07 858 3561,admin@goldenbeads.org.nz,Diane Bhana,http://www.goldenbeads.org.nz,267 Newell Road,,Hamilton,P O Box 10161,Te Rapa,Hamilton,3241,Main Urban Area,Full Primary,Not Applicable,Private : Fully Registered,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Tamahere-Tauwhare,Tamahere Ward,,,175.340394,-37.827156,99,41,25,6,0,8,2,0,0
682,Eden Christian Academy,09 237 8228,,,William van Rensburg,http://www.edenchristianacademy.co.nz,La Valla Estate 131 Dominion Road,,Tuakau,P O Box 134,,Tuakau,2342,Secondary Urban Area,Composite,Not Applicable,Private : Fully Registered,Co-Educational,Waikato District,Waikato Region,Auckland,Auckland,Waikato,Hauraki-Waikato,Buckland South,Awaroa ki Tuakau Ward,,,174.962851,-37.253571,5,72,36,20,2,9,5,0,0
683,Ao Tawhiti Unlimited Discovery,03 377 7773,,,Steven Mustor,http://www.aotawhiti.school.nz,Parkstone Avenue,Ilam,Christchurch,P O Box 4666,,Christchurch,8140,Main Urban Area,Composite,Designated Character School,State,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Ilam,Riccarton Ward,,,172.568057,-43.523017,7,491,391,62,7,19,7,5,0
684,Te Waka Unua School,03 389 9305,03 389 9366,,Janeane Reid,http://www.tewaka.school.nz,476 Ferry Road,Woolston,Christchurch,476 Ferry Road,Woolston,Christchurch,8023,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Port Hills,Te Tai Tonga,Ensors,Linwood Ward,99063,Tamai Community of Learning,172.672639,-43.54567,2,463,147,200,74,28,13,1,0
685,Waitakiri Primary School,03 383 2736,,,Andrew Barker,http://www.waitakiri.school.nz/,170 Burwood Road,Burwood,Christchurch,170 Burwood Road,Burwood,Christchurch,8083,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Travis Wetland,Burwood Ward,99175,Otakaro Community of Learning,172.683844,-43.488844,8,575,405,106,29,25,8,2,0
686,Lyttelton Primary School,03 929 0588,03 328 8360,,Brendan Wright,http://www.lyttelton.school.nz,34 Oxford Street,,Lyttelton,P O Box 85,,Lyttelton,8841,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Port Hills,Te Tai Tonga,Lyttelton,Banks Peninsula Ward,99196,Aupaki Kahui Ako,172.723168,-43.602344,9,194,146,23,2,17,3,3,0
688,Ormiston Primary School,09 253 9020,,,Heath McNeil,http://www.ormistonprimary.school.nz,291 Ormiston Road,Flat Bush,Auckland,P O Box 217053,Botany Junction,Auckland,2164,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Auckland - Howick,Auckland Region,Auckland,Auckland,Hunua,Hauraki-Waikato,Ormiston,Howick Ward,,,174.919785,-36.967628,7,567,38,27,38,430,28,6,0
690,South Auckland Middle School,09 266 6695,,admin@southauckland.school.nz,Wendy Greig,http://www.southauckland.school.nz,198 Mahia Road,Manurewa,Auckland,P O Box 74276,Greenlane,Auckland,1546,Main Urban Area,Restricted Composite (Year 7-10),Not Applicable,Partnership School,Co-Educational,Auckland - Manurewa,Auckland Region,Auckland,Auckland,Papakura,Tamaki Makaurau,Wattle Farm,Manurewa-Papakura Ward,,,174.883981,-37.040121,99,176,17,62,85,9,3,0,0
692,Te Kura Hourua o Whangarei Terenga Paraoa,09 438 4228,,,Raewyn Tipene,http://www.tkw.ac.nz,171 Lower Dent Street,,Whangarei,185 Lower Dent Street,,Whangarei,110,Main Urban Area,Secondary (Year 7-15),Not Applicable,Partnership School,Co-Educational,Whangarei District,Northland Region,Whangarei,Tai Tokerau,Whangarei,Te Tai Tokerau,Whangarei Central,Okara Ward,,,174.330369,-35.727611,99,188,0,188,0,0,0,0,0
693,The Rise Up Academy,09 276 8727,09 276 8726,admin@riseuptrust.org.nz,Sita Selupe (Chief Executive),www.riseuptrust.org.nz,22-24 Rosella Road,Mangere East,Auckland,The Rise Up Academy 22 Rosella Road,Mangere,Auckland,2024,Main Urban Area,Full Primary,Not Applicable,Partnership School,Co-Educational,Auckland - Mangere-Otahuhu,Auckland Region,Auckland,Auckland,Mangere,Tamaki Makaurau,Mangere East,Manukau Ward,,,174.835827,-36.959286,99,101,0,19,82,0,0,0,0
694,Vanguard Military School,09 443 2969,,admin@vanguard.school.nz,Rockley Montgomery,http://www.vanguard.school.nz/,8 Rothwell Avenue,Rosedale,Auckland,P O Box 302770,North Harbour,Auckland,751,Main Urban Area,Secondary (Year 9-15),Not Applicable,Partnership School,Co-Educational,Auckland - Upper Harbour,Auckland Region,Auckland,Auckland,East Coast Bays,Te Tai Tokerau,North Harbour East,Albany Ward,,,174.698733,-36.751726,99,173,68,60,33,8,2,2,0
695,Seven Oaks Secondary School,03 377 8603,03 377 8603,,Molly Watson,http://www.sevenoaks.school.nz,77 Murphys Road,Halswell,Christchurch,77 Murphys Roas,Halswell,Christchurch,8025,Main Urban Area,Secondary (Year 9-15),Not Applicable,Private : Fully Registered,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Halswell West,Halswell Ward,,,172.655309,-43.550917,99,0,0,0,0,0,0,0,0
696,Rawhiti School,03 388 9519,,,Liz Weir,http://www.rawhiti.school.nz,150 Leaver Terrace,North New Brighton,Christchurch,150 Leaver Terrace,North New Brighton,Christchurch,8083,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,North Beach,Coastal Ward,,,172.717708,-43.496105,3,554,354,154,24,12,2,8,0
